"MEAN OF STE","MEAN OF ZC","VARIANCE OF STE","VARIANCE OF ZC","Q(STE) AT 25%","Q(STE) AT 50%","Q(STE) AT 75%","Q(STE) AT 100%","Q(ZC) AT 25%","Q(ZC) AT 50%","Q(ZC) AT 75%","Q(ZC) AT 100%","LABEL"
"18.991053592041","113.21212121212","486.51023712372","1895.0473484849","1.2685659424566","2.5535776082426","14.127574665669","41.122227594836","72.3","105.7","115.2","135.9","1"
"46.580105304851","110","1856.8004132868","962.9375","3.5089083894374","12.26345622523","63.095460300668","87.252283128181","88.1","106","114.6","132.2","1"
"38.731661197792","108.51515151515","1525.0706538829","872.32007575758","3.5731681294507","7.0835373015233","45.69546696869","83.981785116954","89.2","105.7","112","124.7","1"
"41.513164837592","116.15151515151","2262.0736491827","858.13257575758","1.7936837361659","3.2430103101838","48.337916275784","87.742197030296","97.2","113","118.9","126.9","1"
"48.488928297044","120.18181818182","2429.0689639222","1733.0284090909","3.3429575958878","7.5588279921257","59.468014520448","106.49755584303","89.8","111.8","123.6","138.2","1"
"18.629695617141","128.33333333333","669.86910116121","2561.9791666667","0.8035266414278","2.9146820745722","6.2784300703083","51.562597382369","95.2","115.8","125.3","144","1"
"44.31937340447","112.9696969697","2433.5319499213","939.8428030303","2.4275654157768","6.9321270785662","39.72901638458","99.494697866321","91.1","100","118.5","142.6","1"
"44.31937340447","112.9696969697","2433.5319499213","939.8428030303","2.4275654157768","6.9321270785662","39.72901638458","99.494697866321","91.1","100","118.5","142.6","1"
"28.569379528984","118.09090909091","1145.0403487665","1146.6477272727","1.1481211069239","4.5146452441292","26.800551094326","50.21482641357","92.1","104","116.6","143.8","1"
"37.113004061122","110.57575757576","1388.1080623266","1351.8768939394","0.92496250625312","14.09984613446","43.410503069305","65.743823521079","79.1","96.1","113.1","140.4","1"
"42.110151510044","90.181818181818","2421.0048970644","605.71590909091","5.5878900017153","13.263756102351","37.60588521751","65.365005107916","71.3","83.4","91","103.5","1"
"77.101427850996","104.39285714286","6621.9468770541","307.87698412698","2.2848623435251","30.623134747527","79.754815502226","137.35605478006","86.4","99","111.6","122.7","2"
"91.281748873914","92.344827586207","8538.501032814","572.37684729064","1.9514977408632","39.607463658414","95.345233046936","192.18108919329","73.3","85.1","92.9","108.7","2"
"57.068067613406","102.36666666667","3180.9467862873","640.92988505747","1.9120801807313","19.236316568101","61.090017787432","117.72882480033","78.5","93","108.5","122","2"
"69.956793631873","99.290322580645","6147.0872791375","502.07956989247","2.0539368170522","19.469758831403","66.328114703482","135.87511838156","75.8","92.9","108.2","120.6","2"
"49.159022422295","99.75","3325.1119443057","358.70967741935","0.91695133710637","15.783669303311","45.328894476952","91.952415767742","81.8","95","108","115.1","2"
"59.094508191046","98.9375","4189.7595643875","386.25403225807","1.4211219887108","17.463267583718","51.762689708718","118.4633955616","83.4","89.3","101","119.1","2"
"66.270636971847","93.90625","5606.4787790558","491.89415322581","0.81625233630463","12.042650452431","72.376920916296","124.91786694279","75.6","90","97","113.4","2"
"99.986517084808","96.5625","10712.890776185","457.67338709677","1.6601596025017","32.81401944061","119.09170157508","183.7842989855","75.6","90.9","104","115.4","2"
"80.138574463811","92.28125","8660.6632656521","303.95060483871","1.0126066591492","11.014156365155","68.654245615683","173.37505783446","73.9","90.3","97","110.4","2"
"82.762038693984","91.125","8436.4925045955","545.01612903226","1.7341417946004","11.95413947335","76.081222290868","185.29123562298","72.6","82.2","92.7","108.1","2"
"25.068237450044","136.34375","1295.4752508985","2600.2328629032","0.67665418312914","1.709791791562","17.235208602176","51.8799125357","76","124.6","158.5","190","2"
"19.13277805766","128.9375","984.64160565102","2201.1572580645","0.2261962080792","1.393434354863","5.7293636229319","34.106551746857","76","122","134.7","174.2","2"
"18.50122225193","125.4375","831.25898823684","2160.8991935484","0.43878793472342","1.7244166404749","4.9119371772096","41.641496735146","76","104.7","140.2","182.3","2"
