MEAN OF STE,MEAN OF ZC,VARIANCE OF STE,VARIANCE OF ZC,Q(STE) AT 25%,Q(STE) AT 50%,Q(STE) AT 75%,Q(STE) AT 100%,Q(ZC) AT 25%,Q(ZC) AT 50%,Q(ZC) AT 75%,Q(ZC) AT 100%,LABEL
32.41354418,119.3,1300.535992,1293.32069,2.114178592,9.028236036,32.51234769,54.41284735,89,104,122.5,142,1
41.10075631,116.3,1595.368184,1664.631034,1.468902924,15.83497991,46.32064389,68.74622505,85.5,99,116.5,148,1
46.28719265,92.46666667,2537.260861,261.9816092,9.028236036,15.53358849,45.76539863,71.06886409,80,86,94,105.5,1
35.27112927,92.8,3185.804966,292.0275862,4.211032763,9.027881,13.38193636,59.64988061,78,86.5,92.5,110,1
35.20804244,93.96666667,3256.233511,378.3091954,6.717248514,10.41650341,17.5870489,40.0453313,79,86.5,95,111,1
47.79745359,85.56666667,5601.594803,363.9781609,5.968854116,9.94514536,21.16874385,66.08353454,69.5,77.5,86.5,98,1
39.01776093,91.83333333,4140.230589,380.2816092,5.695097196,9.706541035,17.98504126,34.78745938,71.5,86.5,99,110,1
27.44920814,89.7,2055.938503,353.3896552,4.973195929,8.75252256,12.06900673,23.92725524,76,85.5,93.5,99.5,1
45.09193623,84.03333333,6582.976584,317.3436782,4.366378542,9.706541035,15.30312453,34.11652733,66,78,88,95.5,1
42.210054,92.83333333,5766.697536,514.3505747,4.355787068,7.404792717,9.706541035,48.57773438,73,84,93,113,1
43.14546948,89.96666667,2878.70331,392.654023,8.029149292,13.79394869,26.1298537,63.5166516,67,83.5,92.5,107.5,1
43.90531226,87.93333333,4193.917732,369.8574713,7.705604324,12.89469557,25.67638973,48.57803511,69.5,78.5,89,110.5,1
85.81717791,112.56,7766.246532,344.6733333,3.022506197,39.8100378,83.96078361,157.1797938,90.5,107.5,118.5,129,2
102.2732228,99.34615385,10007.36182,640.1553846,2.362249637,44.17936657,111.1593406,202.6833111,72.7,90.9,101,114.2,2
66.1552174,110.2692308,3744.290066,724.4446154,2.362551066,32.13046603,80.42728338,126.2211623,85.8,100,116.1,129.1,2
83.58792345,109.6923077,7230.109004,495.9815385,2.443675109,27.91231543,78.49159931,175.319493,86,105.7,116.4,131.9,2
58.28370035,109.1851852,3944.737069,425.002849,2.446698244,22.02973349,55.07746492,106.0546032,89.9,104.6,114.8,127.1,2
70.47864177,106.962963,5007.565719,513.8831909,1.63006809,32.00013284,73.40526002,163.0248515,84.7,95.3,110.9,127.4,2
78.27362035,100.3333333,6564.352546,534.3076923,1.260419493,28.10895096,91.44880518,155.8528039,80.7,92.9,106.4,115.9,2
119.4176567,104.9259259,12612.22391,516.5327635,1.980898823,58.55508144,137.8405287,246.6287493,82.9,97.9,113,128,2
95.36718624,99.77777778,10513.18684,305.3333333,1.349632851,22.12965361,91.13528767,209.636836,85.8,95,106.7,118.1,2
98.54734277,98.88888889,9997.282201,621.1794872,2.200190029,41.170172,102.7466693,197.4474212,72.9,90.3,100.7,113.4,2
32.22091851,145.4444444,1564.082563,3090.410256,1.65771781,8.278032833,19.46574945,76.69255893,87,130.5,159.2,203.1,2
30.01562767,130.5925926,1618.296082,2205.173789,1.603160529,4.719382953,16.20738508,74.39901764,86.3,116,136.4,185.7,2
29.74693765,130.5925926,1496.687737,2101.019943,2.057644307,4.72553465,16.01636366,76.04713209,87,112.4,140.6,171.9,2
30.26470842,135.5185185,1520.347073,2510.951567,2.057644307,3.967255612,16.77994212,72.56904039,87,114.5,143.6,192.3,2
31.56161484,143.037037,1350.367438,3543.729345,2.027130094,10.79750597,25.60740749,69.77371011,85.6,112.9,159.6,205.8,2
30.12808388,137.1111111,1539.294327,2548.25641,1.515425518,4.991009356,16.01636366,72.82038299,87,119.8,144.2,181.1,2
30.9139284,135.6296296,1664.555561,3340.549858,1.646482844,6.138645058,14.24639406,73.61448321,86.3,111.5,133.4,190.3,2
29.12321847,121.6296296,1581.49438,1909.703704,1.620467473,4.919246695,12.97283277,75.62411216,82.7,100.9,120.4,158.5,2
33.4110356,134.6296296,1417.935352,2177.011396,2.403230812,8.968227872,30.94680993,70.49335446,87,114.3,158.1,181.1,2
30.25901772,129.7407407,1605.343869,2223.353276,1.603160529,5.761086267,16.20738508,74.39901764,86.3,111.5,136.4,185.7,2
40.59653932,84.55555556,2022.329363,445.3333333,2.431939211,9.856212746,34.21344069,90.13501391,66.7,75.1,92,107.3,2
59.91941718,92.62962963,5650.793668,647.0883191,3.097449379,13.98490726,36.43288496,118.0226056,72.9,82.1,95.4,115.3,2
57.85167605,83.96296296,3726.567823,466.8831909,1.691348973,13.53342948,68.02054571,111.1593406,63.7,74.2,89.1,106.1,2
49.0904627,83.03703704,2649.910698,457.037037,1.65324098,17.39749709,40.7937799,109.9197718,63.9,73.6,87,99,2
58.8471854,88.96296296,5612.354089,596.5754986,1.620864065,12.62056864,36.10299924,124.6471303,67,81.3,89.1,110,2
74.90395032,89.11111111,9178.0436,572.9487179,1.636719966,22.95889213,58.80411136,126.3782007,71.9,79.3,88.4,99.6,2
72.28202678,77.22222222,7264.677696,345.7948718,1.622584472,20.79111961,67.89356579,129.6806588,55.7,72.3,87,95.2,2
72.78717424,86.2962963,8062.932275,446.2165242,0.921865767,13.97169401,71.11416071,130.1401261,66.7,76.3,92.8,104.3,2
73.92205316,94.51851852,8371.785689,476.7207977,1.622584472,16.60695531,68.6425839,111.7221301,73.9,87,97.7,115.3,2
73.92205316,94.51851852,8371.785689,476.7207977,1.622584472,16.60695531,68.6425839,111.7221301,73.9,87,97.7,115.3,2
52.03916467,120.0333333,3941.226764,849.6885057,1.633837301,15.02691365,50.60268992,76.34237214,100.5,109.5,116,151.5,2
40.24307103,105.0857143,1868.434612,627.3159664,1.554458041,15.412869,41.42249773,67.43590822,78.5,104,114,127.5,2
41.44124698,115.8857143,2205.228326,547.1042017,1.926950505,12.72668692,39.77343491,79.09314358,99,107,119.5,138.5,2
41.46370827,105.8857143,2489.739964,871.4571429,1.179439749,12.33198183,41.98488742,61.45834934,84.5,94.5,104.5,141,2
42.30915997,109.8857143,2072.12882,594.2218487,1.939820825,7.222152602,41.9599623,94.08541657,87.5,99.5,109,135,2
41.29008912,108.8285714,2119.421629,549.8521008,1.653187285,10.55576177,37.53776329,80.69094487,89,98,109.5,137,2
47.34479897,110.1142857,2961.880929,657.0453782,2.309946693,14.65735693,43.30030096,86.573765,81,104,119.5,136,2
57.54460338,96.57142857,4077.85351,301.1344538,2.412719884,17.29332124,60.28064811,100.3004287,82.5,88,104,114,2
52.11039304,110.8285714,3588.71782,522.3226891,1.648130376,14.57153058,49.22676615,98.47273954,92.5,104.5,120.5,130.5,2
45.14695198,107.4,2362.121725,463.3647059,1.365245143,15.66698494,40.27471968,95.41958503,89.5,98.5,110,127.5,2
35.6873077,113.9428571,1729.833096,1386.055462,3.800143835,14.60026898,24.51906652,76.33159935,86,90.5,109.5,136.5,2
29.8871655,103.4857143,1115.775046,1156.551261,4.582698465,9.24700517,22.01950359,60.67087014,78.5,89,96,128,2
30.10462883,102.0285714,934.8020374,1567.734454,2.951591414,9.935123685,28.18649231,57.73316871,77,81.5,92.5,134,2
28.3538771,100.8571429,1256.170096,1173.714286,3.397889538,7.523983895,20.74134799,53.8913809,76.5,88,98,121,2
32.38961539,101.3714286,1290.57566,918.2403361,3.98766646,10.24870351,26.69894337,67.08570735,79,88.5,101.5,128.5,2
26.44214566,106.8571429,1091.013137,986.302521,2.873750126,5.997062385,16.82348078,58.11324439,83,88,110.5,130.5,2
29.74251159,105.1428571,1012.087163,1311.94958,3.198338423,9.581981658,24.74612991,50.54030576,79,89,100,135.5,2
33.15604115,101.1714286,1762.823302,981.3815126,3.682371707,8.32097965,19.84185953,76.60375181,80,90,98,122,2
28.11827321,97.57142857,1094.302975,1242.957983,3.32802508,7.639802355,19.82289013,52.05641388,71,82.5,95.5,120.5,2
27.0573217,98.05714286,1018.844551,1193.055462,3.804410237,7.615282413,19.91507417,54.55319598,67,82.5,99,121,2
66.89464086,88.30434783,5047.468973,655.7667984,6.275985179,32.21929356,59.60740911,132.9347895,65.7,80.7,95.3,109.7,3
53.81312904,78.04347826,3986.61704,548.1343874,4.559171042,19.15686478,32.70815789,136.9358063,53.4,71.1,83,100.8,3
48.40362206,87.34615385,3905.484088,581.5153846,3.095154419,17.40314438,38.27967434,81.41013607,68.7,80,87.8,107.6,3
83.94004131,84.76923077,5758.805901,491.7846154,11.02478896,42.70057306,78.85368683,160.2583327,59.4,84.8,92.3,101.2,3
